stat_id,strikes_per_minute,strike_accuracy,strikes_absorbed_per_minute,strike_defense,takedown_average,takedown_accuracy,takedown_defense,submission_average,fighters_id
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,2
3,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,3
4,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,4
5,3.4,0.51,3.87,0.51,2.0,0.8,0.1,0.0,5
6,5.29,0.54,3.84,0.49,0.75,0.33,0.82,0.0,6
7,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,7
8,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,8
9,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,9
10,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,10
11,3.79,0.31,3.98,0.68,2.13,0.42,0.1,0.7,11
12,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,12
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
14,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,14
15,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,15
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
17,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,17
18,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,18
19,3.65,0.4,3.04,0.64,0.0,0.0,0.1,0.5,19
20,4.02,0.48,3.2,0.55,0.05,0.11,0.76,0.1,20
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
22,1.66,0.83,0.33,0.75,4.97,0.5,0.5,5.0,22
23,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,23
24,4.43,0.54,3.62,0.52,0.55,0.66,0.45,0.8,24
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
29,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,29
30,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0,30
31,1.73,0.45,1.1,0.59,1.83,0.35,0.4,1.8,31
32,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0,32
33,0.73,0.33,2.89,0.45,1.16,0.2,0.33,0.6,33
34,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,34
35,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0,35
36,0.59,0.45,2.58,0.55,0.0,0.0,0.8,0.5,36
37,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,37
38,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,38
39,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,39
40,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,40
41,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,41
42,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,42
43,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,43
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
45,2.64,0.32,4.67,0.57,1.99,0.45,0.75,0.0,45
46,2.72,0.34,3.71,0.61,1.39,0.32,0.5,0.5,46
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
48,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,48
49,3.98,0.51,6.08,0.52,1.54,0.37,0.1,0.0,49
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
51,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,51
