fight_id,event_name,date,title_bout,method,round_ended,time_ended,referee,event_id
1,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,Decision - Unanimous,3,300,Jason Herzog,1
2,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,Decision - Unanimous,3,300,Mike Beltran,1
3,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,Decision - Split,3,300,Keith Peterson,1
4,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,KO/TKO,1,255,Kevin MacDonald,1
5,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,Decision - Split,3,300,Jason Herzog,1
6,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,Submission,1,171,Kevin MacDonald,1
7,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,Submission,1,270,Jeff Hoiby,1
8,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,KO/TKO,2,204,Jason Herzog,1
9,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,KO/TKO,1,238,Mike Beltran,1
10,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,KO/TKO,2,253,Kevin MacDonald,1
11,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,KO/TKO,2,33,Keith Peterson,1
12,UFC Fight Night: Cejudo vs. Song,2025-02-22,0,KO/TKO,1,132,Jeff Hoiby,1
13,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,KO/TKO,4,21,Herb Dean,2
14,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,Decision - Unanimous,3,300,Dan Miragliotta,2
15,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,KO/TKO,1,95,Chris Tognoni,2
16,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,TKO - Doctor's Stoppage,1,300,Mark Smith,2
17,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,Decision - Unanimous,3,300,Herb Dean,2
18,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,KO/TKO,1,178,Dan Miragliotta,2
19,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,Decision - Split,3,300,Mark Smith,2
20,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,Decision - Unanimous,3,300,Chris Tognoni,2
21,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,Submission,2,298,Herb Dean,2
22,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,Decision - Unanimous,3,300,Mark Smith,2
23,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,Submission,1,77,Dan Miragliotta,2
24,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,0,Decision - Unanimous,3,300,Chris Tognoni,2
25,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,1,Decision - Unanimous,5,300,Marc Goddard,3
26,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,1,Decision - Unanimous,5,300,Mike Beltran,3
27,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,KO/TKO,1,35,Rich Mitchell,3
28,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,Decision - Unanimous,3,300,Mike Beltran,3
29,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,Submission,3,126,Rich Mitchell,3
30,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,Decision - Unanimous,3,300,Marc Goddard,3
31,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,Decision - Unanimous,3,300,Mike Beltran,3
32,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,Decision - Unanimous,3,300,Jim Perdios,3
33,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,Decision - Unanimous,3,300,Steve Perceval,3
34,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,Decision - Unanimous,3,300,Rich Mitchell,3
35,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,0,KO/TKO,1,19,Jim Perdios,3
36,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,KO/TKO,2,30,Marc Goddard,4
37,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,Decision - Unanimous,3,300,Jason Herzog,4
38,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,Decision - Unanimous,3,300,Mark Smith,4
39,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,Decision - Unanimous,3,300,Kerry Hatley,4
40,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,Decision - Unanimous,3,300,Chris Tognoni,4
41,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,Decision - Unanimous,3,300,Marc Goddard,4
42,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,KO/TKO,1,192,Jason Herzog,4
43,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,KO/TKO,1,121,Jason Herzog,4
44,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,Decision - Unanimous,3,300,Mark Smith,4
45,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,KO/TKO,2,262,Kerry Hatley,4
46,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,0,Decision - Split,3,300,Chris Tognoni,4
47,UFC 311: Makhachev vs. Moicano,2025-01-18,1,Submission,1,245,Herb Dean,5
48,UFC 311: Makhachev vs. Moicano,2025-01-18,1,Decision - Unanimous,5,300,Jason Herzog,5
49,UFC 311: Makhachev vs. Moicano,2025-01-18,0,KO/TKO,3,181,Mike Beltran,5
50,UFC 311: Makhachev vs. Moicano,2025-01-18,0,KO/TKO,1,293,Jason Herzog,5
51,UFC 311: Makhachev vs. Moicano,2025-01-18,0,Submission,1,211,Frank Trigg,5
52,UFC 311: Makhachev vs. Moicano,2025-01-18,0,Decision - Unanimous,3,300,Herb Dean,5
53,UFC 311: Makhachev vs. Moicano,2025-01-18,0,KO/TKO,1,184,Blake Grice,5
54,UFC 311: Makhachev vs. Moicano,2025-01-18,0,Submission,2,213,Mike Beltran,5
55,UFC 311: Makhachev vs. Moicano,2025-01-18,0,Decision - Unanimous,3,300,Frank Trigg,5
56,UFC 311: Makhachev vs. Moicano,2025-01-18,0,Decision - Unanimous,3,300,Mike Beltran,5
57,UFC 311: Makhachev vs. Moicano,2025-01-18,0,Decision - Unanimous,3,300,Jason Herzog,5
58,UFC 311: Makhachev vs. Moicano,2025-01-18,0,Decision - Unanimous,3,300,Frank Trigg,5
59,UFC 311: Makhachev vs. Moicano,2025-01-18,0,Decision - Unanimous,3,300,Blake Grice,5
60,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,Submission,3,296,Mark Smith,6
61,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,KO/TKO,3,193,Kerry Hatley,6
62,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,KO/TKO,1,256,Mike Beltran,6
63,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,KO/TKO,3,299,Mark Smith,6
64,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,Decision - Unanimous,3,300,Chris Tognoni,6
65,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,KO/TKO,1,31,Mike Beltran,6
66,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,Submission,1,124,Kerry Hatley,6
67,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,KO/TKO,1,184,Mark Smith,6
68,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,Decision - Unanimous,3,300,Chris Tognoni,6
69,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,KO/TKO,1,73,Mike Beltran,6
70,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,Decision - Split,3,300,Kerry Hatley,6
71,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,Decision - Unanimous,3,300,Mark Smith,6
72,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,KO/TKO,2,267,Chris Tognoni,6
73,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,0,Decision - Unanimous,3,300,Kerry Hatley,6
74,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,TKO - Doctor's Stoppage,3,282,Dan Miragliotta,7
75,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,KO/TKO,3,96,Jason Herzog,7
76,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,KO/TKO,3,117,Keith Peterson,7
77,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,KO/TKO,3,224,Andrew Glenn,7
78,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,Decision - Split,3,300,Keith Peterson,7
79,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,Decision - Unanimous,3,300,Dan Miragliotta,7
80,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,KO/TKO,2,123,Jason Herzog,7
81,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,KO/TKO,1,168,Dan Miragliotta,7
82,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,KO/TKO,1,298,Andrew Glenn,7
83,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,Decision - Unanimous,3,300,Jason Herzog,7
84,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,Decision - Unanimous,3,300,Andrew Glenn,7
85,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,Decision - Unanimous,3,300,Keith Peterson,7
86,UFC Fight Night: Covington vs. Buckley,2024-12-14,0,Decision - Unanimous,3,300,Jason Herzog,7
87,UFC 310: Pantoja vs. Asakura,2024-12-07,1,Submission,2,125,Jason Herzog,8
88,UFC 310: Pantoja vs. Asakura,2024-12-07,0,Decision - Unanimous,5,300,Marc Goddard,8
89,UFC 310: Pantoja vs. Asakura,2024-12-07,0,Decision - Split,3,300,Mark Smith,8
90,UFC 310: Pantoja vs. Asakura,2024-12-07,0,KO/TKO,3,39,Keith Peterson,8
91,UFC 310: Pantoja vs. Asakura,2024-12-07,0,KO/TKO,3,201,Chris Tognoni,8
92,UFC 310: Pantoja vs. Asakura,2024-12-07,0,KO/TKO,2,286,Marc Goddard,8
93,UFC 310: Pantoja vs. Asakura,2024-12-07,0,Submission,1,52,Mark Smith,8
94,UFC 310: Pantoja vs. Asakura,2024-12-07,0,Decision - Unanimous,3,300,Jason Herzog,8
95,UFC 310: Pantoja vs. Asakura,2024-12-07,0,Decision - Split,3,300,Keith Peterson,8
96,UFC 310: Pantoja vs. Asakura,2024-12-07,0,KO/TKO,2,291,Mark Smith,8
97,UFC 310: Pantoja vs. Asakura,2024-12-07,0,Decision - Unanimous,3,300,Chris Tognoni,8
98,UFC 310: Pantoja vs. Asakura,2024-12-07,0,Submission,3,116,Marc Goddard,8
99,UFC 310: Pantoja vs. Asakura,2024-12-07,0,Submission,1,221,Keith Peterson,8
100,UFC 310: Pantoja vs. Asakura,2024-12-07,0,KO/TKO,1,291,Chris Tognoni,8
101,UFC 309: Jones vs. Miocic,2024-11-16,1,KO/TKO,3,269,Herb Dean,9
102,UFC 309: Jones vs. Miocic,2024-11-16,0,Decision - Unanimous,5,300,Keith Peterson,9
103,UFC 309: Jones vs. Miocic,2024-11-16,0,Decision - Unanimous,3,300,Dan Miragliotta,9
104,UFC 309: Jones vs. Miocic,2024-11-16,0,Decision - Unanimous,3,300,Marc Goddard,9
105,UFC 309: Jones vs. Miocic,2024-11-16,0,Decision - Unanimous,3,300,Kevin MacDonald,9
106,UFC 309: Jones vs. Miocic,2024-11-16,0,Decision - Unanimous,3,300,Herb Dean,9
107,UFC 309: Jones vs. Miocic,2024-11-16,0,Submission,1,164,Keith Peterson,9
108,UFC 309: Jones vs. Miocic,2024-11-16,0,Decision - Unanimous,3,300,Marc Goddard,9
109,UFC 309: Jones vs. Miocic,2024-11-16,0,TKO - Doctor's Stoppage,2,300,Herb Dean,9
110,UFC 309: Jones vs. Miocic,2024-11-16,0,KO/TKO,1,175,Kevin MacDonald,9
111,UFC 309: Jones vs. Miocic,2024-11-16,0,KO/TKO,3,40,Marc Goddard,9
112,UFC 309: Jones vs. Miocic,2024-11-16,0,Decision - Unanimous,3,300,Dan Miragliotta,9
113,UFC Fight Night: Magny vs. Prates,2024-11-09,0,KO/TKO,1,290,Mark Smith,10
114,UFC Fight Night: Magny vs. Prates,2024-11-09,0,Submission,3,104,Mike Beltran,10
115,UFC Fight Night: Magny vs. Prates,2024-11-09,0,Decision - Unanimous,3,300,Kerry Hatley,10
116,UFC Fight Night: Magny vs. Prates,2024-11-09,0,Decision - Unanimous,3,300,Chris Tognoni,10
117,UFC Fight Night: Magny vs. Prates,2024-11-09,0,KO/TKO,1,164,Mike Beltran,10
118,UFC Fight Night: Magny vs. Prates,2024-11-09,0,Decision - Unanimous,3,300,Mark Smith,10
119,UFC Fight Night: Magny vs. Prates,2024-11-09,0,KO/TKO,1,75,Chris Tognoni,10
120,UFC Fight Night: Magny vs. Prates,2024-11-09,0,KO/TKO,1,51,Kerry Hatley,10
121,UFC Fight Night: Magny vs. Prates,2024-11-09,0,Submission,1,259,Mike Beltran,10
122,UFC Fight Night: Magny vs. Prates,2024-11-09,0,Submission,1,83,Kerry Hatley,10
123,UFC Fight Night: Magny vs. Prates,2024-11-09,0,KO/TKO,2,80,Chris Tognoni,10
124,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Unanimous,5,300,Marc Goddard,11
125,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Unanimous,5,300,Blake Grice,11
126,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Split,3,300,Jerin Valel,11
127,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Submission,3,148,Luke Boutin,11
128,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,KO/TKO,1,268,Marc Goddard,11
129,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Unanimous,3,300,Andy Social,11
130,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Unanimous,3,300,Jerin Valel,11
131,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Submission,2,223,Blake Grice,11
132,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Submission,2,59,Luke Boutin,11
133,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Unanimous,3,300,Marc Goddard,11
134,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Split,3,300,Andy Social,11
135,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Unanimous,3,300,Jerin Valel,11
136,UFC Fight Night: Moreno vs. Albazi,2024-11-02,0,Decision - Split,3,300,Blake Grice,11
137,UFC 308: Topuria vs. Holloway,2024-10-26,1,KO/TKO,3,94,Marc Goddard,12
138,UFC 308: Topuria vs. Holloway,2024-10-26,0,Submission,1,214,Jason Herzog,12
139,UFC 308: Topuria vs. Holloway,2024-10-26,0,Decision - Unanimous,3,300,Vitor Ribeiro,12
140,UFC 308: Topuria vs. Holloway,2024-10-26,0,Decision - Unanimous,3,300,Mark Smith,12
141,UFC 308: Topuria vs. Holloway,2024-10-26,0,KO/TKO,2,292,Kerry Hatley,12
142,UFC 308: Topuria vs. Holloway,2024-10-26,0,KO/TKO,1,51,Marc Goddard,12
143,UFC 308: Topuria vs. Holloway,2024-10-26,0,KO/TKO,1,90,Mark Smith,12
144,UFC 308: Topuria vs. Holloway,2024-10-26,0,Decision - Split,3,300,Vitor Ribeiro,12
145,UFC 308: Topuria vs. Holloway,2024-10-26,0,Submission,3,194,Marc Goddard,12
146,UFC 308: Topuria vs. Holloway,2024-10-26,0,KO/TKO,1,267,Jason Herzog,12
147,UFC 308: Topuria vs. Holloway,2024-10-26,0,Decision - Unanimous,3,300,Kerry Hatley,12
148,UFC 308: Topuria vs. Holloway,2024-10-26,0,Decision - Unanimous,3,300,Mark Smith,12
149,UFC 308: Topuria vs. Holloway,2024-10-26,0,Decision - Unanimous,3,300,Vitor Ribeiro,12
150,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,KO/TKO,5,142,Herb Dean,13
151,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Keith Peterson,13
152,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Mark Smith,13
153,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Chris Tognoni,13
154,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Herb Dean,13
155,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Keith Peterson,13
156,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Mark Smith,13
157,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Submission,3,273,Herb Dean,13
158,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Chris Tognoni,13
159,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Keith Peterson,13
160,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,0,Decision - Unanimous,3,300,Mark Smith,13
161,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Decision - Split,5,300,Jason Herzog,14
162,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Decision - Split,3,300,,14
163,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Decision - Unanimous,3,300,Mark Smith,14
164,UFC Fight Night: Royval vs. Taira,2024-10-12,0,KO/TKO,2,102,Chris Tognoni,14
165,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Decision - Split,3,300,Herb Dean,14
166,UFC Fight Night: Royval vs. Taira,2024-10-12,0,KO/TKO,1,170,Jason Herzog,14
167,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Submission,1,246,Chris Tognoni,14
168,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Decision - Unanimous,3,300,Herb Dean,14
169,UFC Fight Night: Royval vs. Taira,2024-10-12,0,KO/TKO,2,135,Mark Smith,14
170,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Decision - Split,3,300,Chris Tognoni,14
171,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Decision - Unanimous,3,300,Jason Herzog,14
172,UFC Fight Night: Royval vs. Taira,2024-10-12,0,Submission,2,132,Mark Smith,14
173,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,1,KO/TKO,4,272,Marc Goddard,15
174,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,1,Decision - Split,5,300,Jason Herzog,15
175,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,Decision - Split,3,300,Mike Beltran,15
176,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,KO/TKO,1,300,Jason Herzog,15
177,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,Decision - Unanimous,3,300,Marc Goddard,15
178,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,KO/TKO,3,137,Mike Beltran,15
179,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,Decision - Split,3,300,Marc Goddard,15
180,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,Decision - Split,3,300,Tyler Tomlinson,15
181,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,Decision - Unanimous,3,300,Dave Seljestad,15
182,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,Submission,1,95,Mike Beltran,15
183,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,Decision - Unanimous,3,300,Tyler Tomlinson,15
184,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,0,Submission,1,199,Jason Herzog,15
185,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,0,TKO - Doctor's Stoppage,2,300,Marc Goddard,16
186,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,0,Decision - Unanimous,3,300,Herb Dean,16
