fightp_id,fighter_name,fighters_id,fight_id,result
1,Song Yadong,3631,1,w
2,Henry Cejudo,629,1,l
3,Anthony Hernandez,1586,2,w
4,Brendan Allen,84,2,l
5,Rob Font,1191,3,w
6,Jean Matsumoto,2376,3,l
7,Jean Silva,3537,4,w
8,Melsik Baghdasaryan,232,4,l
9,Alonzo Menifield,2472,5,w
10,Julius Walker,4048,5,l
11,Ion Cutelaba,813,6,w
12,Ibo Aslan,198,6,l
13,Melquizael Costa,758,7,w
14,Andre Fili,1160,7,l
15,Mansur Abdul-Malik,6,8,w
16,Nick Klein,1967,8,l
17,Ricky Simon,3568,9,w
18,Javid Basharat,280,9,l
19,Austin Vanderford,3966,10,w
20,Nikolay Veretennikov,3996,10,l
21,Nursulton Ruziboev,3309,11,w
22,Eric McConico,2403,11,l
23,Modestas Bukauskas,499,12,w
24,Rafael Cerqueira,633,12,l
25,Jared Cannonier,568,13,w
26,Gregory Rodrigues,3231,13,l
27,Youssef Zalal,4234,14,w
28,Calvin Kattar,1896,14,l
29,Edmen Shahbazyan,3491,15,w
30,Dylan Budka,494,15,l
31,Nazim Sadykhov,3317,16,w
32,Ismael Bonfim,395,16,l
33,Andre Petroski,2981,17,w
34,Rodolfo Vieira,4010,17,l
35,Jose Delgado,886,18,w
36,Connor Matthews,2381,18,l
37,Angela Hill,1610,19,w
38,Ketlen Souza,3656,19,l
39,Rafael Estevam,1091,20,w
40,Jesus Aguilar,31,20,l
41,Gabriel Bonfim,394,21,w
42,Khaos Williams,4135,21,l
43,Elijah Smith,3611,22,w
44,Vince Morales,2582,22,l
45,Valter Walker,4047,23,w
46,Don'Tale Mayes,2391,23,l
47,Jacqueline Cavalcanti,625,24,w
48,Julia Avila,215,24,l
49,Dricus Du Plessis,980,25,w
50,Sean Strickland,3730,25,l
51,Zhang Weili,4249,26,w
52,Tatiana Suarez,3737,26,l
53,Tallison Teixeira,3822,27,w
54,Justin Tafa,3772,27,l
55,Jake Matthews,2380,28,w
56,Francisco Prado,3043,28,l
57,Gabriel Santos,3400,29,w
58,Jack Jenkins,1778,29,l
59,Tom Nolan,2748,30,w
60,Viacheslav Borshchev,406,30,l
61,Wang Cong,4064,31,w
62,Bruna Brasil,437,31,l
63,Aleksandre Topuria,3872,32,w
64,Colby Thicknesse,3840,32,l
65,Rongzhu,3266,33,w
66,Kody Steele,3694,33,l
67,Jonathan Micallef,2484,34,w
68,Kevin Jousset,1848,34,l
69,Quillan Salkilld,3343,35,w
70,Anshul Jubli,1854,35,l
71,Nassourdine Imavov,1710,36,w
72,Israel Adesanya,20,36,l
73,Michael Page,2862,37,w
74,Shara Magomedov,2276,37,l
75,Sergei Pavlovich,2918,38,w
76,Jairzinho Rozenstruik,3294,38,l
77,Vinicius Oliveira,2810,39,w
78,Said Nurmagomedov,2767,39,l
79,Fares Ziam,4256,40,w
80,Mike Davis,851,40,l
81,Muhammad Naimov,2662,41,w
82,Kaan Ofli,2787,41,l
83,Shamil Gaziev,1300,42,w
84,Thomas Petersen,2977,42,l
85,Terrance McKinney,2432,43,w
86,Damir Hadzovic,1481,43,l
87,Jasmine Jasudavicius,1768,44,w
88,Mayra Bueno Silva,497,44,l
89,Bogdan Grad,1414,45,w
90,Lucas Alexander,69,45,l
91,Hamdy Abdelwahab,5,46,w
92,Jamal Pogues,3023,46,l
93,Islam Makhachev,2290,47,w
94,Renato Moicano,2550,47,l
95,Merab Dvalishvili,1011,48,w
96,Umar Nurmagomedov,2769,48,l
97,Jiri Prochazka,3056,49,w
98,Jamahal Hill,1612,49,l
99,Jailton Almeida,95,50,w
100,Serghei Spivac,3673,50,l
101,Reinier de Ridder,875,51,w
102,Kevin Holland,1629,51,l
103,Raoni Barcelos,256,52,w
104,Payton Talbott,3786,52,l
105,Azamat Bekoev,303,53,w
106,Zachary Reese,3137,53,l
107,Bogdan Guskov,1466,54,w
108,Billy Elekana,1041,54,l
109,Grant Dawson,857,55,w
110,Diego Ferreira,1144,55,l
111,Ailin Perez,2966,56,w
112,Karol Rosa,3272,56,l
113,Muin Gafurov,1255,57,w
114,Rinya Nakamura,2671,57,l
115,Benardo Sopaj,3637,58,w
116,Ricky Turcios,3915,58,l
117,Tagir Ulanbekov,3927,59,w
118,Clayton Carpenter,594,59,l
119,Mackenzie Dern,900,60,w
120,Amanda Ribas,3161,60,l
121,Santiago Ponzinibbio,3031,61,w
122,Carlston Harris,1527,61,l
123,Cesar Almeida,97,62,w
124,Abdul Razak Alhassan,3125,62,l
125,Roman Kopylov,1993,63,w
126,Chris Curtis,812,63,l
127,Christian Rodriguez,3245,64,w
128,Austin Bashi,282,64,l
129,Punahele Soriano,3640,65,w
130,Uros Medic,2446,65,l
131,Felipe Bunes,503,66,w
132,Jose Johnson,1812,66,l
133,Marco Tulio,3912,67,w
134,Ihor Potieria,3036,67,l
135,Thiago Moises,2551,68,w
136,Trey Ogden,2789,68,l
137,Jacobe Smith,3612,69,w
138,Preston Parsons,2901,69,l
139,Ernesta Kareckaite,1888,70,w
140,Nicolle Caliari,542,70,l
141,Bruno Lopes,2199,71,w
142,Magomed Gadzhiyasulov,1252,71,l
143,Fatima Kline,1970,72,w
144,Viktoriia Dudakova,987,72,l
145,Nurullo Aliev,78,73,w
146,Joe Solecki,3626,73,l
147,Joaquin Buckley,491,74,w
148,Colby Covington,769,74,l
149,Cub Swanson,3757,75,w
150,Billy Quarantillo,3077,75,l
151,Manel Kape,1883,76,w
152,Bruno Silva,3551,76,l
153,Dustin Jacoby,1755,77,w
154,Vitor Petrino,2980,77,l
155,Daniel Marcos,2316,78,w
156,Adrian Yanez,4196,78,l
157,Navajo Stirling,3709,79,w
158,Tuco Tokkos,3862,79,l
159,Michael Johnson,1804,80,w
160,Ottman Azaitar,220,80,l
161,Joel Alvarez,108,81,w
162,Drakkar Klose,1972,81,l
163,Sean Woodson,4163,82,w
164,Fernando Padilla,2859,82,l
165,Felipe Lima,2168,83,w
166,Miles Johns,1795,83,l
167,Miranda Maverick,2386,84,w
168,Jamey-Lyn Horth,1661,84,l
169,Davey Grant,1419,85,w
170,Ramon Taveras,3808,85,l
171,Piera Rodriguez,3244,86,w
172,Josefine Knutsson,1977,86,l
173,Alexandre Pantoja,2880,87,w
174,Kai Asakura,187,87,l
175,Shavkat Rakhmonov,3095,88,w
176,Ian Machado Garry,2250,88,l
177,Ciryl Gane,1274,89,w
178,Alexander Volkov,4031,89,l
179,Bryce Mitchell,2532,90,w
180,Kron Gracie,1413,90,l
181,Dooho Choi,661,91,w
