round_id,round_number,knockdowns,submission_attempts,reversals,control_time,fightp_id,takedown_stats_id,strike_breakdown_id
1,1,0,0,0,0,1,1,1
2,2,0,0,0,0,1,10,2
3,3,0,0,0,0,1,19,3
4,1,0,0,0,0,2,28,4
5,2,0,0,0,0,2,37,5
6,3,0,0,0,0,2,46,6
7,1,0,0,1,129,3,55,7
8,2,0,1,1,44,3,64,8
9,3,0,0,1,5,3,73,9
10,1,0,0,0,143,4,82,10
11,2,0,0,1,244,4,91,11
12,3,0,0,1,235,4,100,12
13,1,0,0,0,26,5,109,13
14,2,0,1,0,0,5,118,14
15,3,0,0,0,52,5,127,15
16,1,0,0,0,220,6,136,16
17,2,0,0,0,125,6,145,17
18,3,0,0,0,30,6,154,18
19,1,1,0,0,6,7,163,19
20,1,0,0,0,0,8,172,20
21,1,0,0,0,32,9,181,21
22,2,0,0,0,5,9,190,22
23,3,0,0,0,6,9,199,23
24,1,0,0,0,172,10,208,24
25,2,0,0,0,75,10,217,25
26,3,0,0,0,84,10,226,26
27,1,0,1,0,66,11,235,27
28,1,0,0,0,0,12,244,28
29,1,0,0,0,24,13,253,29
30,1,0,1,0,0,14,262,30
31,1,0,0,0,8,15,271,31
32,2,0,0,0,27,15,280,32
33,1,0,0,0,115,16,289,33
34,2,0,0,0,66,16,298,34
35,1,1,0,0,74,17,307,35
36,1,0,0,0,1,18,316,36
37,1,0,0,0,0,19,325,37
38,2,0,0,0,0,19,334,38
39,1,0,1,0,236,20,343,39
40,2,0,0,0,205,20,352,40
41,1,0,0,0,30,21,361,41
42,2,2,0,0,6,21,370,42
43,1,0,0,0,0,22,379,43
44,2,0,0,0,0,22,388,44
45,1,1,0,0,0,23,397,45
46,1,0,0,0,0,24,406,46
47,1,0,0,0,94,25,415,47
48,2,0,0,0,18,25,424,48
49,3,1,0,0,17,25,433,49
50,4,1,0,0,0,25,442,50
51,1,2,0,0,17,26,451,51
52,2,0,0,0,0,26,460,52
53,3,0,0,0,0,26,469,53
54,4,0,0,0,0,26,478,54
55,1,0,0,0,0,27,487,55
56,2,0,0,0,0,27,496,56
57,3,0,0,0,0,27,505,57
58,1,0,0,0,0,28,514,58
59,2,0,0,0,0,28,523,59
60,3,0,0,0,0,28,532,60
61,1,1,0,0,3,29,541,61
